# Type 1, Type 2, Tera Type, Score
FGT,FLY,GHT,57.9296080884
FIR,PSY,FGT,57.8734509481
FLY,PSY,FGT,57.8150773997
GRD,FLY,GHT,57.8072092775
FIR,ICE,GHT,57.7964564566
WTR,FLY,STL,57.7932208425
GRS,DRG,GRS,57.7788221968
FGT,STL,FLY,57.7639839949
GRS,GRD,BUG,57.7430584889
FGT,PSN,FLY,57.7384273935
PSY,FRY,WTR,57.6591856908
PSN,FRY,STL,57.6533065270
RCK,FRY,FGT,57.6372340380
FIR,GRD,FGT,57.6127888596
GRS,PSY,GRS,57.5920129900
GRS,GHT,PSN,57.5494200665
ICE,STL,ICE,57.5346296202
GRD,PSY,PSN,57.5301321539
GRD,PSY,WTR,57.5249072551
GRS,DRK,PSN,57.4975484761
WTR,PSY,STL,57.4907432765
NRM,PSN,PSN,57.4839652193
FGT,PSY,GHT,57.4820583113
PSY,FRY,PSY,57.4559536588
ICE,DRG,DRG,57.3976702141
PSY,DRG,PSY,57.3891504856
DRK,FRY,GRD,57.3319309478
GHT,FRY,GRD,57.3226538520
FLY,DRG,STL,57.3200127942
PSY,BUG,BUG,57.2870308780
ICE,BUG,GRD,57.2574515406
ICE,BUG,WTR,57.2125530387
RCK,FRY,GRD,57.1701054514
GRD,STL,FLY,57.1593043141
PSN,GRD,FLY,57.1169419057
FIR,DRK,FRY,57.1056501431
FIR,GHT,FRY,57.0963730473
GRS,RCK,DRG,57.0745550456
FIR,RCK,PSN,57.0731728342
WTR,DRK,FGT,57.0357636681
WTR,GHT,FGT,57.0114722079
PSY,DRG,STL,57.0091076968
FGT,GHT,FIR,56.9735075442
PSN,DRK,FRY,56.9459541841
BUG,STL,---,56.9231886093
PSN,---,PSN,56.9186463211
PSN,GHT,FRY,56.9173139615
ICE,STL,PSY,56.8909172914
FGT,DRK,FIR,56.8731037511
ICE,DRK,ICE,56.8726056596
ICE,GHT,ICE,56.8671789064
FGT,PSY,FIR,56.7528712700
GRS,DRG,FLY,56.7390085056
GRD,RCK,NRM,56.7001269286
FGT,PSY,FLY,56.6924445798
WTR,FGT,NRM,56.6861012663
GRD,GHT,FIR,56.6741861404
FGT,GRD,FIR,56.6684408167
FIR,PSY,PSN,56.6545950908
PSY,GHT,FIR,56.6480806986
FLY,PSY,PSY,56.6210004110
PSY,DRK,FIR,56.6178245659
PSY,RCK,GHT,56.6096116176
GRD,DRK,FIR,56.6084851635
WTR,FRY,---,56.5934840479
GRS,BUG,NRM,56.5927902455
FGT,GRD,GHT,56.5902346951
FIR,BUG,BUG,56.4949632224
PSN,GHT,WTR,56.4766060353
NRM,DRK,DRK,56.4518798114
PSN,PSY,WTR,56.4459811025
PSN,DRK,WTR,56.4302681852
FLY,RCK,FGT,56.4052326407
GHT,DRK,DRK,56.3136430517
DRK,---,DRK,56.3136430517
BUG,STL,WTR,56.2623716526
ICE,BUG,FLY,56.2424764142
ICE,STL,GRD,56.2376077099
GRS,PSY,BUG,56.2355075678
NRM,BUG,NRM,56.2306599234
GRD,PSY,FGT,56.1966852761
PSN,PSY,STL,56.1766169006
ICE,PSN,GRD,56.1282287911
ICE,RCK,WTR,56.0886598606
FLY,RCK,PSN,56.0366242112
FGT,STL,FRY,56.0243078160
RCK,DRK,FLY,56.0206922230
FIR,WTR,FGT,56.0114731822
RCK,GHT,FLY,56.0114151272
GRD,RCK,DRK,55.9854576471
WTR,FGT,PSY,55.9782201282
RCK,DRG,WTR,55.9444929774
ICE,FGT,FIR,55.9419399595
RCK,DRK,FGT,55.9245934129
ICE,FRY,FGT,55.9017368795
RCK,GHT,FGT,55.9003019527
DRK,FRY,FGT,55.8916987154
FGT,GHT,GRD,55.8835021948
ICE,RCK,ICE,55.8803263850
ICE,GHT,FIR,55.8610036904
GHT,FRY,FGT,55.8319624110
WTR,GRD,FGT,55.8191675070
FGT,DRK,GRD,55.8178012180
ICE,GRD,FIR,55.7781533040
FIR,DRG,WTR,55.7752531986
FGT,PSY,DRK,55.7685410509
ICE,DRK,FIR,55.7605998973
GRS,FRY,DRK,55.7476337962
FIR,ICE,ICE,55.7177666449
ICE,RCK,GHT,55.7159836245
FGT,RCK,GRD,55.6997571346
GRS,STL,NRM,55.6827231669
GRS,BUG,PSY,55.6432711393
ICE,PSY,FIR,55.6255841944
NRM,GRS,WTR,55.5251893124
GRS,---,WTR,55.5251893124
ICE,PSN,WTR,55.4618759907
WTR,ICE,FGT,55.4588885760
FGT,RCK,RCK,55.4288430037
FGT,FLY,FRY,55.4250257111
FIR,FGT,FRY,55.3897655832
WTR,FGT,---,55.3664988849
FGT,BUG,FRY,55.3477895009
ICE,STL,GHT,55.2957797367
WTR,GRD,FLY,55.2768358392
PSY,RCK,FRY,55.2695586974
ICE,PSY,GHT,55.2405870961
RCK,GHT,GRD,55.2308022385
RCK,DRG,FRY,55.2099252747
NRM,RCK,FRY,55.2099252747
RCK,---,FRY,55.2099252747
FIR,ICE,FLY,55.1863767674
FGT,PSN,PSY,55.1842764769
RCK,DRK,GRD,55.1651012617
WTR,FGT,GHT,55.1380202185
GRD,BUG,PSN,55.0880354228
ICE,BUG,ICE,55.0795719224
NRM,PSN,NRM,55.0703519894
